Job Title,Hospital,Link,Excel Link
Resident Physician,Prison Medical Officer,https://careers.singhealth.com.sg/SHP/job/Singapore-Resident-Physician-%28Prison-Medical-Officer%29-Sing/17181244/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHP/job/Singapore-Resident-Physician-%28Prison-Medical-Officer%29-Sing/17181244/"", ""View Job"")"
Associate Consultant / Consultant,Unknown,https://careers.singhealth.com.sg/CGH/job/Singapore-Associate-Consultant-Consultant-Sing/12417244/,"=HYPERLINK(""https://careers.singhealth.com.sg/CGH/job/Singapore-Associate-Consultant-Consultant-Sing/12417244/"", ""View Job"")"
Resident Physician / Staff Registrar,Unknown,https://careers.singhealth.com.sg/SKH/job/Singapore-Resident-Physician-Staff-Registrar-Sing/13423644/,"=HYPERLINK(""https://careers.singhealth.com.sg/SKH/job/Singapore-Resident-Physician-Staff-Registrar-Sing/13423644/"", ""View Job"")"
Consultant,Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Consultant-Sing/43192744/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Consultant-Sing/43192744/"", ""View Job"")"
"Senior Executive, SingHealth Duke-NUS Allergic Diseases Centre",Unknown,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Executive%2C-SingHealth-Duke-NUS-Allergic-Diseases-Centre-Sing/44766044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Executive%2C-SingHealth-Duke-NUS-Allergic-Diseases-Centre-Sing/44766044/"", ""View Job"")"
"Assistant Director, Office of Digital Empowerment",Unknown,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Assistant-Director%2C-Office-of-Digital-Empowerment-Sing/47509544/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Assistant-Director%2C-Office-of-Digital-Empowerment-Sing/47509544/"", ""View Job"")"
Lead Clinical Research Coordinator,Unknown,https://careers.singhealth.com.sg/CGH/job/Singapore-Lead-Clinical-Research-Coordinator-Sing/49777044/,"=HYPERLINK(""https://careers.singhealth.com.sg/CGH/job/Singapore-Lead-Clinical-Research-Coordinator-Sing/49777044/"", ""View Job"")"
Research Officer,BDMED_CH,https://careers.singhealth.com.sg/NCCS/job/Singapore-Research-Officer-%28BDMED_CH%29-Sing/46158444/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Research-Officer-%28BDMED_CH%29-Sing/46158444/"", ""View Job"")"
"Senior Manager, Digital Health Readiness",2-year Contract,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Manager%2C-Digital-Health-Readiness-%282-year-Contract%29-Sing/47509744/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Manager%2C-Digital-Health-Readiness-%282-year-Contract%29-Sing/47509744/"", ""View Job"")"
Research Fellow,Translational & Clinical Research,https://careers.singhealth.com.sg/NCCS/job/Singapore-Research-Fellow-%28Translational-&-Clinical-Research%29-Sing/44772844/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Research-Fellow-%28Translational-&-Clinical-Research%29-Sing/44772844/"", ""View Job"")"
